walk,8416,5936,724
walk,8432,5937,650
walk,8447,5928,650
walk,8460,5929,650
walk,8463,5949,651
walk,8486,5935,650
walk,8497,5934,721
walk,8521,5935,731
walk,8542,5936,752
walk,8571,5936,743
walk,8591,5936,757
walk,8634,5936,660
walk,8656,5936,692
walk,8675,5935,739
walk,8688,5920,739
walk,8699,5902,768
walk,8701,5881,818
walk,8700,5853,812
walk,8691,5848,812
walk,8663,5848,812
walk,8630,5847,812
walk,8630,5823,812
walk,8629,5798,827
walk,8627,5766,801
walk,8619,5745,802
walk,8614,5720,801
walk,8611,5692,793
walk,8608,5657,801
walk,8603,5634,801
walk,8616,5608,801
walk,8637,5600,801
walk,8654,5615,801
walk,8661,5639,801
walk,8651,5654,801
walk,8645,5685,798
walk,8640,5707,806
walk,8636,5731,809
walk,8632,5759,801
walk,8629,5786,803
walk,8631,5808,827
walk,8631,5848,812
walk,8651,5845,812
walk,8684,5848,812
walk,8697,5850,812
walk,8698,5871,828
walk,8700,5899,770
walk,8710,5920,739
walk,8712,5934,739
walk,8710,5951,739
walk,8702,5968,741
walk,8699,5984,800
walk,8699,6019,815
walk,8692,6026,815
walk,8660,6026,815
walk,8630,6028,815
walk,8630,6058,830
walk,8629,6092,806
walk,8621,6117,808
walk,8614,6151,807
walk,8610,6178,803
walk,8608,6220,806
walk,8601,6258,806
walk,8617,6280,806
walk,8643,6268,806
walk,8660,6246,806
walk,8651,6220,806
walk,8648,6200,798
walk,8647,6172,808
walk,8640,6150,814
walk,8635,6125,806
walk,8631,6101,806
walk,8630,6077,829
walk,8630,6060,833
walk,8629,6025,815
walk,8653,6025,815
walk,8683,6027,815
walk,8699,6021,815
walk,8699,6004,828
walk,8701,5976,770
walk,8707,5956,739
walk,8716,5940,739
walk,8740,5937,739
walk,8767,5936,760
walk,8781,5936,806
walk,8804,5936,829
walk,8835,5935,815
walk,8853,5936,829
walk,8876,5936,803
walk,8896,5936,803
walk,8920,5937,819
walk,8941,5938,829
walk,8968,5938,814
walk,8968,5963,814
walk,8973,5976,814
walk,8995,5979,830
walk,9022,5979,804
walk,9059,5977,804
walk,9098,5977,804
walk,9123,5982,804
walk,9147,5983,813
walk,9156,5958,804
walk,9183,5972,804
walk,9211,5978,804
walk,9232,5979,828
walk,9265,5979,815
walk,9269,5958,815
walk,9267,5928,815
walk,9267,5904,815
walk,9267,5882,823
walk,9267,5862,830
walk,9267,5852,830
walk,9269,5818,625
walk,9268,5794,624
walk,9248,5779,624
walk,9286,5772,624
walk,9302,5749,624
walk,9269,5749,624
walk,9245,5735,624
walk,9262,5702,624
walk,9268,5671,694
walk,9264,5655,807
teleport,Pharaoh tomb (advance),Kings Valley
inject,0x7061,00
