walk,-32750,-20043,-590,166
walk,-32750,-20066,-567,174
walk,-32750,-20086,-554,175
walk,-32750,-20109,-547,174
walk,-32750,-20141,-546,174
walk,-32750,-20166,-546,174
walk,-32750,-20197,-548,174
walk,-32750,-20226,-547,174
walk,-32750,-20263,-546,174
walk,-32750,-20300,-546,181
walk,-32750,-20332,-546,181
walk,-32750,-20351,-546,170
walk,-32750,-20378,-544,112
walk,-32750,-20394,-524,108
walk,-32750,-20407,-515,108
walk,-32750,-20451,-500,112
walk,-32750,-20472,-494,108
walk,-32750,-20498,-532,111
walk,-32750,-20498,-565,108
walk,-32750,-20498,-585,108
walk,-32750,-20457,-598,112
walk,-32750,-20418,-582,108
walk,-32750,-20443,-610,112
walk,-32750,-20448,-641,148
walk,-32750,-20449,-669,181
walk,-32750,-20451,-700,181
walk,-32750,-20451,-737,174
walk,-32750,-20452,-768,174
walk,-32750,-20456,-784,174
walk,-32750,-20490,-786,169
walk,-32750,-20528,-787,174
walk,-32750,-20554,-790,174
walk,-32750,-20554,-836,174
walk,-32750,-20557,-872,174
walk,-32750,-20567,-915,156
walk,-32750,-20583,-955,163
walk,-32750,-20579,-993,164
walk,-32750,-20637,-982,170
walk,-32750,-20684,-977,172
walk,-32750,-20723,-976,172
walk,-32750,-20765,-975,172
walk,-32750,-20769,-937,166
walk,-32750,-20770,-884,172
walk,-32750,-20779,-872,169
walk,-32750,-20825,-872,172
walk,-32750,-20886,-867,155
walk,-32750,-20940,-848,160
walk,-32750,-20963,-844,159
walk,-32750,-20978,-926,169
walk,-32750,-20979,-963,170
walk,-32750,-20980,-1005,170
walk,-32750,-20992,-1021,170
walk,-32750,-21022,-1019,170
walk,-32750,-21079,-1020,170
walk,-32750,-21083,-1076,170
walk,-32750,-21083,-1133,176
walk,-32750,-21083,-1197,107
walk,-32750,-21050,-1217,103
walk,-32750,-21036,-1261,107
walk,-32750,-21046,-1294,103
walk,-32750,-21097,-1311,106
walk,-32750,-21125,-1289,103
walk,-32750,-21130,-1237,103
walk,-32750,-21087,-1200,107
walk,-32750,-21084,-1149,172
walk,-32750,-21084,-1083,168
walk,-32750,-21084,-1043,170
walk,-32750,-21079,-1022,170
walk,-32750,-21005,-1021,170
walk,-32750,-20982,-1013,170
walk,-32750,-20981,-939,170
walk,-32750,-20968,-866,168
walk,-32750,-20962,-788,166
walk,-32750,-20960,-733,170
walk,-32750,-20960,-681,170
walk,-32750,-20954,-659,170
walk,-32750,-20910,-657,170
walk,-32750,-20861,-656,170
walk,-32750,-20856,-605,170
walk,-32750,-20856,-543,176
walk,-32750,-20856,-512,151
walk,-32750,-20856,-469,78
walk,-32750,-20901,-453,78
walk,-32750,-20915,-436,74
walk,-32750,-20896,-451,78
walk,-32750,-20844,-460,74
walk,-32750,-20800,-450,78
walk,-32750,-20797,-413,78
walk,-32750,-20792,-391,78
walk,-32750,-20797,-329,77
walk,-32750,-20808,-323,78
walk,-32750,-20848,-316,77
walk,-32750,-20895,-311,78
walk,-32750,-20917,-362,78
walk,-32750,-20941,-384,133
walk,-32750,-20959,-391,151
walk,-32750,-20988,-392,178
walk,-32750,-21036,-391,170
walk,-32750,-21080,-390,170
walk,-32750,-21091,-389,170
walk,-32750,-21093,-343,170
walk,-32750,-21094,-290,170
walk,-32750,-21164,-288,165
walk,-32750,-21209,-288,176
walk,-32750,-21235,-287,166
walk,-32750,-21277,-287,107
walk,-32750,-21301,-329,103
walk,-32750,-21340,-339,107
walk,-32750,-21359,-335,103
walk,-32750,-21385,-294,107
walk,-32750,-21372,-254,103
walk,-32750,-21340,-234,107
walk,-32750,-21289,-253,103
walk,-32750,-21301,-324,103
walk,-32750,-21325,-354,107
walk,-32750,-21332,-385,159
walk,-32750,-21334,-440,176
walk,-32750,-21334,-479,170
walk,-32750,-21335,-520,168
walk,-32750,-21347,-526,170
walk,-32750,-21365,-527,170
walk,-32750,-21411,-529,170
walk,-32750,-21434,-529,170
walk,-32750,-21436,-606,170
walk,-32750,-21438,-649,176
walk,-32750,-21438,-676,151
walk,-32750,-21438,-717,78
walk,-32750,-21387,-720,78
walk,-32750,-21377,-756,78
walk,-32750,-21407,-732,77
walk,-32750,-21439,-727,78
walk,-32750,-21483,-722,78
walk,-32750,-21501,-749,77
walk,-32750,-21507,-811,78
walk,-32750,-21499,-849,78
walk,-32750,-21478,-870,78
walk,-32750,-21482,-879,78
walk,-32750,-21437,-870,78
walk,-32750,-21397,-873,78
walk,-32750,-21385,-862,78
walk,-32750,-21388,-859,78
walk,-32750,-21443,-861,78
walk,-32750,-21479,-848,78
walk,-32750,-21516,-802,100
walk,-32750,-21523,-799,140
walk,-32750,-21556,-794,176
walk,-32750,-21615,-794,170
walk,-32750,-21664,-793,170
walk,-32750,-21673,-789,170
walk,-32750,-21674,-751,170
walk,-32750,-21677,-697,168
walk,-32750,-21715,-688,164
walk,-32750,-21771,-690,176
walk,-32750,-21805,-689,176
walk,-32750,-21858,-703,106
walk,-32750,-21867,-695,107
walk,-32750,-21891,-745,103
walk,-32750,-21915,-747,107
walk,-32750,-21957,-724,103
walk,-32750,-21965,-678,107
walk,-32750,-21949,-650,103
walk,-32750,-21893,-644,103
walk,-32750,-21897,-645,103
walk,-32750,-21909,-623,107
walk,-32750,-21915,-580,167
walk,-32750,-21916,-542,176
walk,-32750,-21916,-475,170
walk,-32750,-21913,-449,170
walk,-32750,-21871,-449,170
walk,-32750,-21815,-447,170
walk,-32750,-21813,-369,170
walk,-32750,-21811,-331,176
walk,-32750,-21812,-304,151
walk,-32750,-21811,-259,78
walk,-32750,-21855,-255,78
walk,-32750,-21875,-233,78
walk,-32750,-21848,-256,78
walk,-32750,-21762,-255,78
walk,-32750,-21749,-233,78
walk,-32750,-21746,-173,76
walk,-32750,-21753,-127,78
walk,-32750,-21765,-106,78
walk,-32750,-21821,-103,76
walk,-32750,-21866,-111,78
walk,-32750,-21859,-104,78
walk,-32750,-21876,-160,78
walk,-32750,-21897,-177,133
walk,-32750,-21920,-183,169
walk,-32750,-21987,-183,169
walk,-32750,-22024,-184,170
walk,-32750,-22048,-180,170
walk,-32750,-22055,-114,164
walk,-32750,-22050,-125,170
walk,-32750,-22050,-82,170
walk,-32750,-22104,-81,170
walk,-32750,-22159,-79,156
walk,-32750,-22219,-48,159
walk,-32750,-22222,-43,159
walk,-32750,-22239,11,164
walk,-32750,-22239,78,167
walk,-32750,-22239,108,167
walk,-32750,-22235,132,167
walk,-32750,-22194,133,167
walk,-32750,-22193,133,167
walk,-32750,-22167,133,167
walk,-32750,-22139,136,167
walk,-32750,-22136,210,167
walk,-32750,-22134,263,149
walk,-32750,-22101,290,154
